Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
646,0.0045324,0.0049209,0.0053095,0.0060865,0.0076406,0.010749,0.0044954,0.0048568,0.0052128,0.0059408,0.00742,0.010359
648,0.0047299,0.005076,0.0054222,0.0061145,0.0074992,0.010268,0.004704,0.0050288,0.0053492,0.0060104,0.0073468,0.0099954
650,0.0049039,0.0052121,0.0055203,0.0061367,0.0073696,0.0098353,0.004858,0.0051454,0.0054338,0.0060258,0.0072282,0.0095968
652,0.0050407,0.0053151,0.0055895,0.0061382,0.0072358,0.0094309,0.0049408,0.005191,0.0054476,0.0059724,0.007038,0.0091288
654,0.005137,0.0053794,0.0056218,0.0061067,0.0070764,0.0090158,0.0049882,0.005209,0.0054358,0.0058926,0.0068292,0.008656
656,0.0052232,0.0054318,0.0056405,0.0060577,0.0068923,0.0085613,0.0050444,0.0052336,0.0054296,0.0058216,0.0066314,0.0082058
658,0.0053221,0.0055061,0.0056901,0.0060582,0.0067943,0.0082666,0.005097,0.0052642,0.0054364,0.0057798,0.006491,0.0078778
660,0.0054165,0.0055795,0.0057425,0.0060684,0.0067203,0.0080242,0.005144,0.0052894,0.0054408,0.0057438,0.006369,0.0075916
662,0.0054976,0.0056417,0.0057858,0.0060741,0.0066506,0.0078037,0.005189,0.005317,0.0054516,0.005718,0.0062666,0.0073434
664,0.0055858,0.0057125,0.0058392,0.0060927,0.0065996,0.0076134,0.0052252,0.0053422,0.0054568,0.0056876,0.0061656,0.0071056
666,0.0056405,0.0057514,0.0058623,0.0060842,0.0065278,0.0074151,0.00525,0.0053498,0.0054468,0.0056482,0.006063,0.0068808
668,0.0056554,0.0057525,0.0058496,0.0060438,0.0064323,0.0072091,0.0052554,0.0053416,0.0054294,0.0056028,0.0059658,0.0066836
