Wavelength [nm],Background nominal [28 yrs],Modulation nominal [25% 28 yrs],Modulation nominal [50% 28 yrs],Modulation nominal [100% 28 yrs],Modulation nominal [200% 28 yrs],Modulation nominal [400% 28 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
402,1.1369e-05,1.1482e-05,1.1595e-05,1.1822e-05,1.2275e-05,1.3181e-05,1.3577e-05,1.6872e-05,1.667e-05,1.5155e-05,1.6455e-05,2.0072e-05
404,1.1261e-05,1.1505e-05,1.175e-05,1.2239e-05,1.3217e-05,1.5174e-05,1.5666e-05,1.8208e-05,1.7549e-05,1.6719e-05,1.6897e-05,1.9226e-05
406,1.507e-05,1.5204e-05,1.5339e-05,1.5607e-05,1.6144e-05,1.7219e-05,1.8192e-05,2.0548e-05,1.9214e-05,1.8956e-05,1.8934e-05,2.0021e-05
408,2.333e-05,2.3321e-05,2.3313e-05,2.3296e-05,2.3261e-05,2.3192e-05,2.378e-05,2.5405e-05,2.4753e-05,2.3429e-05,2.3144e-05,2.3266e-05
410,4.3868e-05,4.3179e-05,4.2489e-05,4.1109e-05,3.835e-05,3.2831e-05,4.0382e-05,4.2074e-05,4.0236e-05,3.8604e-05,3.5094e-05,3.0714e-05
412,9.5544e-05,9.2847e-05,9.0149e-05,8.4754e-05,7.3963e-05,5.2382e-05,8.4602e-05,8.189e-05,7.923e-05,7.2566e-05,6.36e-05,4.5974e-05
414,0.00017169,0.00016612,0.00016055,0.00014942,0.00012715,8.2612e-05,0.00015527,0.00014851,0.00014381,0.00013194,0.0001101,7.4802e-05
416,0.00027636,0.00026662,0.00025689,0.00023741,0.00019847,0.00012059,0.00025782,0.00024644,0.00023678,0.0002159,0.0001775,0.00011037
418,0.00041701,0.0004014,0.00038579,0.00035457,0.00029213,0.00016724,0.0003984,0.00038014,0.0003631,0.0003281,0.00026608,0.00015306
420,0.0005863,0.00056324,0.00054018,0.00049407,0.00040184,0.00021738,0.000567,0.00053954,0.00051484,0.00046468,0.00037126,0.00019931
422,0.00075864,0.00072768,0.00069672,0.00063479,0.00051094,0.00026324,0.00073916,0.00070324,0.00067156,0.00060406,0.00047836,0.00024312
