Wavelength [nm],Background nominal [44 yrs],Modulation nominal [x0.25 44 yrs],Modulation nominal [x0.50 44 yrs],Modulation nominal [x1.00 44 yrs],Modulation nominal [x2.00 44 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
746,5.0253e-05,5.0696e-05,5.114e-05,5.2027e-05,5.3801e-05,6.1744e-05,7.0652e-05,7.5684e-05,6.648e-05,7.7888e-05
748,5.0577e-05,5.0994e-05,5.1411e-05,5.2245e-05,5.3913e-05,6.2048e-05,6.658e-05,8.3444e-05,6.2828e-05,6.9672e-05
750,5.2154e-05,5.2541e-05,5.2927e-05,5.3701e-05,5.5248e-05,6.1464e-05,6.8984e-05,8.3908e-05,6.4168e-05,7.1504e-05
752,5.3542e-05,5.3986e-05,5.443e-05,5.5319e-05,5.7096e-05,6.76e-05,7.1676e-05,8.1752e-05,6.4092e-05,7.0532e-05
754,5.1155e-05,5.1518e-05,5.1881e-05,5.2606e-05,5.4057e-05,6.1512e-05,6.8796e-05,7.9172e-05,5.6816e-05,7.0108e-05
756,6.0708e-05,6.1144e-05,6.158e-05,6.2453e-05,6.4197e-05,6.7216e-05,6.7684e-05,7.8888e-05,6.2944e-05,6.7372e-05
758,7.5156e-05,7.5667e-05,7.6177e-05,7.7199e-05,7.9242e-05,6.7524e-05,6.7432e-05,7.8128e-05,6.5816e-05,6.7352e-05
760,6.6901e-05,6.7302e-05,6.7704e-05,6.8507e-05,7.0113e-05,6.3212e-05,7.1756e-05,8.2408e-05,6.6804e-05,7.282e-05
762,7.5395e-05,7.5911e-05,7.6427e-05,7.746e-05,7.9524e-05,7.244e-05,7.4392e-05,7.7972e-05,6.9644e-05,7.7984e-05
764,8.0791e-05,8.1278e-05,8.1765e-05,8.2738e-05,8.4685e-05,7.3736e-05,7.5256e-05,7.9976e-05,6.9092e-05,8.1796e-05
766,8.0258e-05,8.0686e-05,8.1114e-05,8.1971e-05,8.3684e-05,7.8292e-05,7.81e-05,8.0688e-05,7.0432e-05,8.4016e-05
768,8.2493e-05,8.2836e-05,8.3179e-05,8.3865e-05,8.5237e-05,7.7972e-05,7.8684e-05,8.1632e-05,7.666e-05,7.7056e-05
770,9.7057e-05,9.7425e-05,9.7792e-05,9.8526e-05,9.9995e-05,8.0112e-05,7.8668e-05,7.6924e-05,7.6416e-05,7.5324e-05
772,9.4908e-05,9.5182e-05,9.5457e-05,9.6005e-05,9.7103e-05,8.226e-05,8.2156e-05,8.16e-05,7.3648e-05,7.8948e-05
774,8.9025e-05,8.9363e-05,8.9701e-05,9.0377e-05,9.1729e-05,7.9412e-05,8.23e-05,7.9988e-05,7.4344e-05,8.1444e-05
776,9.7212e-05,9.7681e-05,9.8151e-05,9.909e-05,0.00010097,9.0664e-05,8.5312e-05,7.8844e-05,7.5124e-05,9.3124e-05
778,0.00010404,0.00010436,0.00010469,0.00010534,0.00010663,9.6268e-05,8.9624e-05,8.322e-05,8.1712e-05,8.9284e-05
780,0.00011245,0.0001128,0.00011314,0.00011384,0.00011522,9.4796e-05,0.00010323,8.7156e-05,8.566e-05,9.874e-05
