Wavelength [nm],Background nominal [29 yrs],Modulation nominal [25% 29 yrs],Modulation nominal [50% 29 yrs],Modulation nominal [100% 29 yrs],Modulation nominal [200% 29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
570,0.0001511,0.00062875,0.0011064,0.0020617,0.0039723,0.0077935,0.00019452,0.00066976,0.0010954,0.0019442,0.0036058,0.0072572
572,0.00017249,0.00076915,0.0013658,0.0025591,0.0049458,0.009719,0.0002158,0.00080446,0.0013422,0.0024112,0.0044928,0.0090374
574,0.0002085,0.00092504,0.0016416,0.0030747,0.0059408,0.011673,0.00025766,0.00095116,0.0016007,0.0028852,0.0053788,0.010801
576,0.00026683,0.0010807,0.0018946,0.0035224,0.006778,0.013289,0.00032378,0.0011014,0.001847,0.0033196,0.006176,0.01236
578,0.00034778,0.0012228,0.0020978,0.0038478,0.0073479,0.014348,0.000406,0.0012312,0.002041,0.0036444,0.0067728,0.013495
580,0.0004493,0.0013635,0.0022777,0.0041062,0.007763,0.015077,0.0005099,0.0013616,0.002213,0.0039088,0.007252,0.01436
582,0.00056954,0.0014967,0.0024239,0.0042782,0.0079869,0.015404,0.00063036,0.0014904,0.0023622,0.0041078,0.0076132,0.014951
584,0.00071349,0.0016232,0.0025329,0.0043523,0.0079912,0.015269,0.00076262,0.0016095,0.0024756,0.0042252,0.007839,0.015257
586,0.00089104,0.0017649,0.0026388,0.0043866,0.0078823,0.014873,0.00092546,0.0017417,0.0025794,0.0042854,0.0079266,0.015252
588,0.0010646,0.0019065,0.0027484,0.0044323,0.0077999,0.014535,0.0010798,0.0018702,0.0026812,0.0043364,0.0079286,0.01506
590,0.0012605,0.0020642,0.0028678,0.0044751,0.0076897,0.014119,0.0012425,0.0020046,0.0027842,0.0043816,0.0078762,0.014738
592,0.0014728,0.0022394,0.003006,0.0045391,0.0076055,0.013738,0.0014228,0.0021548,0.0029002,0.0044352,0.0077934,0.014341
