Wavelength [nm],Background nominal [44 yrs],Modulation nominal [25% 44 yrs],Modulation nominal [50% 44 yrs],Modulation nominal [100% 44 yrs],Modulation nominal [200% 44 yrs],Modulation nominal [400% 44 yrs],Background validated [32 yrs],Modulation validated [25% 32 yrs],Modulation validated [50% 32 yrs],Modulation validated [100% 32 yrs],Modulation validated [200% 32 yrs],Modulation validated [400% 32 yrs]
584,0.0011427,0.0024704,0.0037982,0.0064537,0.011765,0.022387,0.00092148,0.0020924,0.0032402,0.0054122,0.0099716,0.018954
586,0.0014936,0.0028139,0.0041342,0.0067748,0.012056,0.022618,0.0012256,0.0023782,0.0035204,0.0057356,0.010436,0.019578
588,0.0018245,0.003101,0.0043775,0.0069305,0.012037,0.022249,0.0015381,0.0026472,0.0037518,0.0059454,0.010654,0.019707
590,0.0021654,0.0033893,0.0046132,0.0070611,0.011957,0.021748,0.0018713,0.0029284,0.0039816,0.006119,0.010745,0.019529
592,0.0025206,0.0036869,0.0048532,0.0071858,0.011851,0.021181,0.002212,0.003213,0.004212,0.0062726,0.01075,0.01915
594,0.0028768,0.003991,0.0051053,0.0073339,0.011791,0.020705,0.0025518,0.0034992,0.0044424,0.0064174,0.010702,0.018654
596,0.00325,0.0043113,0.0053727,0.0074953,0.011741,0.020231,0.0029072,0.003799,0.0046826,0.0065606,0.010599,0.018034
598,0.0035674,0.0045708,0.0055742,0.007581,0.011595,0.019622,0.0032172,0.0040602,0.0048936,0.006686,0.010494,0.017477
600,0.0038648,0.0048051,0.0057454,0.0076259,0.011387,0.018909,0.0035166,0.0043114,0.0050998,0.0068062,0.010386,0.016934
602,0.0041695,0.0050455,0.0059215,0.0076735,0.011177,0.018185,0.0038094,0.0045582,0.0053058,0.0069244,0.010272,0.016379
604,0.0044459,0.0052544,0.0060629,0.0076799,0.010914,0.017382,0.0040836,0.0047868,0.0054966,0.007025,0.010123,0.015765
606,0.0046075,0.0053388,0.0060701,0.0075327,0.010458,0.016308,0.0043146,0.0049694,0.0056348,0.0070506,0.00982,0.014881
608,0.0045323,0.0051773,0.0058224,0.0071125,0.0096926,0.014853,0.0044002,0.0049976,0.0056082,0.006882,0.0092574,0.01367
610,0.0042703,0.0048209,0.0053715,0.0064726,0.0086749,0.01308,0.0042982,0.0048182,0.00535,0.006443,0.008395,0.012116
612,0.0038885,0.0043438,0.004799,0.0057095,0.0075305,0.011172,0.0039924,0.0044148,0.0048482,0.005734,0.0072892,0.010315
614,0.0034008,0.0037617,0.0041227,0.0048445,0.0062882,0.0091756,0.0035084,0.0038326,0.0041666,0.0048512,0.006063,0.0084372
616,0.0027843,0.0030477,0.0033111,0.0038379,0.0048915,0.0069987,0.002847,0.0030768,0.0033162,0.0038062,0.0046972,0.0064316
618,0.0021401,0.0023242,0.0025083,0.0028764,0.0036127,0.0050853,0.0021461,0.0023014,0.0024654,0.0027984,0.0034218,0.0046226
620,0.0014683,0.001587,0.0017058,0.0019434,0.0024186,0.0033689,0.0014804,0.0015815,0.0016888,0.0019028,0.0023148,0.0030982
622,0.00086474,0.00093085,0.00099695,0.0011292,0.0013936,0.0019225,0.0009027,0.00096176,0.0010254,0.0011491,0.0013925,0.0018497
624,0.00048814,0.00052186,0.00055559,0.00062304,0.00075793,0.0010277,0.00051592,0.0005467,0.00058062,0.00064592,0.00077692,0.0010205
626,0.00035245,0.00037201,0.00039158,0.00043071,0.00050897,0.0006655,0.00034846,0.0003652,0.00038346,0.00042026,0.000495,0.00063324
628,0.00040673,0.00042335,0.00043997,0.0004732,0.00053968,0.00067263,0.0003673,0.00038032,0.00039402,0.0004227,0.00048262,0.00059068
630,0.00060707,0.00062474,0.00064242,0.00067777,0.00074848,0.00088989,0.00052248,0.00053608,0.00054968,0.00057864,0.00063836,0.00074678
632,0.00093176,0.00095262,0.00097347,0.0010152,0.0010986,0.0012655,0.0008146,0.00083046,0.00084616,0.00087944,0.00094746,0.0010736
634,0.0013672,0.0013921,0.001417,0.0014667,0.0015663,0.0017653,0.0012357,0.0012562,0.0012757,0.0013156,0.0013973,0.0015486
636,0.0020054,0.0020348,0.0020642,0.0021229,0.0022404,0.0024755,0.001837,0.001865,0.00189,0.0019399,0.0020405,0.0022202
638,0.0027359,0.0027691,0.0028024,0.0028688,0.0030017,0.0032674,0.0025102,0.0025484,0.0025804,0.0026422,0.0027624,0.0029684
640,0.0035009,0.0035372,0.0035735,0.003646,0.0037911,0.0040813,0.003221,0.0032716,0.003311,0.0033882,0.0035284,0.0037574
642,0.0042969,0.0043359,0.0043748,0.0044526,0.0046083,0.0049196,0.0039396,0.0040032,0.0040516,0.0041438,0.0043066,0.0045542
644,0.005079,0.0051195,0.00516,0.005241,0.005403,0.005727,0.0046396,0.0047186,0.0047764,0.0048814,0.0050612,0.0053236
646,0.0058188,0.0058588,0.0058988,0.0059788,0.0061389,0.006459,0.0053436,0.0054382,0.0055028,0.005616,0.0058022,0.006068
648,0.0063163,0.0063537,0.0063911,0.0064659,0.0066155,0.0069148,0.0058518,0.00595,0.0060138,0.0061196,0.0062912,0.0065384
650,0.0066513,0.0066846,0.006718,0.0067848,0.0069184,0.0071855,0.0062158,0.0063018,0.0063536,0.00644,0.006579,0.0067922
652,0.0068084,0.0068377,0.006867,0.0069256,0.0070429,0.0072775,0.006417,0.0064728,0.0065058,0.0065632,0.006663,0.0068408
654,0.0067725,0.006798,0.0068235,0.0068745,0.0069765,0.0071805,0.0064618,0.006481,0.006494,0.0065242,0.0065868,0.0067342
656,0.0065402,0.006562,0.0065838,0.0066275,0.0067149,0.0068897,0.0063406,0.0063292,0.0063268,0.0063356,0.0063744,0.0064956
658,0.0061965,0.0062156,0.0062348,0.006273,0.0063496,0.0065026,0.006072,0.0060434,0.0060336,0.0060288,0.0060482,0.0061524
660,0.0056944,0.0057107,0.0057269,0.0057595,0.0058245,0.0059546,0.005613,0.0055754,0.005559,0.0055438,0.0055454,0.0056306
662,0.0050786,0.0050921,0.0051056,0.0051325,0.0051863,0.005294,0.0049748,0.0049386,0.0049202,0.0049008,0.0048954,0.0049668
664,0.0043644,0.0043755,0.0043866,0.0044088,0.0044532,0.0045419,0.0041776,0.0041504,0.004137,0.0041226,0.0041194,0.0041768
666,0.0035606,0.0035696,0.0035787,0.0035968,0.0036331,0.0037056,0.0033334,0.0033178,0.0033102,0.0033054,0.0033084,0.003355
668,0.002791,0.0027981,0.0028051,0.0028192,0.0028474,0.0029037,0.0025668,0.0025588,0.002557,0.0025574,0.0025632,0.0026054
670,0.0020468,0.0020521,0.0020574,0.0020679,0.0020891,0.0021315,0.0018345,0.0018312,0.0018322,0.0018362,0.0018432,0.0018781
672,0.0013179,0.0013218,0.0013257,0.0013335,0.0013491,0.0013803,0.0011682,0.0011676,0.0011704,0.001176,0.001183,0.0012102
674,0.00065922,0.00066192,0.00066462,0.00067002,0.00068083,0.00070244,0.00059816,0.00059744,0.0005998,0.0006053,0.00061356,0.00063126
