Wavelength [nm],Background nominal [32 yrs],Modulation nominal [x0.25 32 yrs],Modulation nominal [x0.50 32 yrs],Modulation nominal [x1.00 32 yrs],Modulation nominal [x2.00 32 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
422,0.00081093,0.00078512,0.00075932,0.00070772,0.00060451,0.00068416,0.00066068,0.00064224,0.00059956,0.00051682
424,0.00084554,0.00081652,0.00078749,0.00072944,0.00061335,0.00073716,0.00071008,0.00068672,0.00063726,0.0005406
426,0.00083903,0.00080807,0.0007771,0.00071518,0.00059133,0.00075282,0.00072322,0.00069654,0.00064188,0.0005365
428,0.00079633,0.00076494,0.00073355,0.00067077,0.00054521,0.00073192,0.00070046,0.00067268,0.00061454,0.00050348
430,0.00071657,0.00068626,0.00065596,0.00059535,0.00047413,0.00068118,0.0006505,0.00062244,0.00056518,0.00045484
432,0.00060432,0.00057708,0.00054983,0.00049534,0.00038636,0.00059784,0.00056932,0.00054246,0.00048954,0.00038734
434,0.0004703,0.00044787,0.00042544,0.00038059,0.00029089,0.00048894,0.00046518,0.00044188,0.00039566,0.00030724
436,0.00032734,0.00031095,0.00029456,0.00026179,0.00019624,0.00036448,0.000346,0.00032814,0.00029188,0.0002218
438,0.00020241,0.00019158,0.00018075,0.00015909,0.00011577,0.0002416,0.00022932,0.00021659,0.00019069,0.00014138
440,0.00012413,0.00011664,0.00010915,9.4175e-05,6.4215e-05,0.00014659,0.00013866,0.000129,0.00011268,7.8964e-05
442,9.2499e-05,8.6147e-05,7.9794e-05,6.7089e-05,4.1679e-05,9.7124e-05,9.227e-05,8.5154e-05,7.277e-05,4.745e-05
444,8.8637e-05,8.232e-05,7.6003e-05,6.3369e-05,3.81e-05,8.6418e-05,8.1982e-05,7.5158e-05,6.3258e-05,3.9382e-05
446,8.9806e-05,8.3227e-05,7.6649e-05,6.3491e-05,3.7176e-05,8.7756e-05,8.2942e-05,7.5542e-05,6.3992e-05,3.9076e-05
448,9.6155e-05,8.9214e-05,8.2274e-05,6.8393e-05,4.063e-05,9.3394e-05,8.843e-05,8.0144e-05,6.8084e-05,4.1892e-05
450,0.00010647,9.9194e-05,9.1917e-05,7.7362e-05,4.8253e-05,0.00010151,9.5826e-05,8.783e-05,7.3972e-05,4.606e-05
452,0.00011097,0.00010352,9.6074e-05,8.1177e-05,5.1384e-05,0.0001067,0.00010195,9.2304e-05,7.8624e-05,4.973e-05
454,0.00011591,0.00010875,0.00010159,8.7262e-05,5.8613e-05,0.00010992,0.00010403,9.5562e-05,8.181e-05,5.4278e-05
456,0.00012198,0.00011532,0.00010867,9.5363e-05,6.8747e-05,0.00011419,0.0001099,0.00010248,8.8768e-05,6.2754e-05
458,0.00013001,0.00012385,0.00011768,0.00010535,8.0682e-05,0.00012171,0.00011796,0.00011002,9.864e-05,7.3892e-05
460,0.00013742,0.00013203,0.00012665,0.00011588,9.4349e-05,0.00013033,0.00012727,0.00012021,0.00010971,8.7592e-05
462,0.00014671,0.00014248,0.00013824,0.00012978,0.00011284,0.0001405,0.00013802,0.00013217,0.00012338,0.00010557
464,0.00015999,0.00015715,0.00015432,0.00014865,0.0001373,0.00015216,0.0001502,0.00014554,0.00014051,0.00012724
466,0.00017458,0.00017353,0.00017249,0.00017041,0.00016624,0.00016654,0.00016526,0.00016312,0.00016128,0.00015397
468,0.00019161,0.00019288,0.00019415,0.0001967,0.00020179,0.00018206,0.00018444,0.00018272,0.00018463,0.00018616
470,0.00019927,0.00020256,0.00020584,0.00021242,0.00022557,0.00018598,0.00019047,0.00019255,0.00019864,0.00020695
