Wavelength [nm],Background nominal [28 yrs],Modulation nominal [x0.25 28 yrs],Modulation nominal [x0.50 28 yrs],Modulation nominal [x1.00 28 yrs],Modulation nominal [x2.00 28 yrs],Background validated [32 yrs],Modulation validated [x0.25 32 yrs],Modulation validated [x0.50 32 yrs],Modulation validated [x1.00 32 yrs],Modulation validated [x2.00 32 yrs]
440,0.00012413,0.00011672,0.0001093,9.4459e-05,6.4784e-05,0.00013927,0.00013204,0.00012311,0.00010533,7.1632e-05
442,9.2499e-05,8.6251e-05,8.0002e-05,6.7506e-05,4.2512e-05,9.6198e-05,9.1372e-05,8.4002e-05,7.0172e-05,4.407e-05
444,8.8637e-05,8.2455e-05,7.6274e-05,6.391e-05,3.9184e-05,8.7e-05,8.1826e-05,7.5468e-05,6.2662e-05,3.7482e-05
446,8.9806e-05,8.3398e-05,7.6991e-05,6.4175e-05,3.8544e-05,8.7766e-05,8.316e-05,7.5896e-05,6.3472e-05,3.8002e-05
448,9.6155e-05,8.9428e-05,8.2702e-05,6.9248e-05,4.2342e-05,9.2784e-05,8.772e-05,7.98e-05,6.7246e-05,4.042e-05
450,0.00010647,9.9458e-05,9.2445e-05,7.8419e-05,5.0368e-05,9.8978e-05,9.3738e-05,8.5274e-05,7.269e-05,4.4266e-05
452,0.00011097,0.00010384,9.6707e-05,8.2443e-05,5.3915e-05,0.00010265,9.7542e-05,8.8978e-05,7.648e-05,4.8332e-05
454,0.00011591,0.00010912,0.00010233,8.8746e-05,6.1582e-05,0.00010358,9.8406e-05,9.0752e-05,7.8466e-05,5.2724e-05
456,0.00012198,0.00011576,0.00010953,9.709e-05,7.2202e-05,0.0001066,0.00010304,9.488e-05,8.4282e-05,5.9938e-05
458,0.00013001,0.00012433,0.00011865,0.00010729,8.4568e-05,0.00011391,0.00010936,0.00010208,9.2982e-05,7.056e-05
460,0.00013742,0.00013256,0.00012769,0.00011797,9.8527e-05,0.00012226,0.0001184,0.00011115,0.00010348,8.3726e-05
462,0.00014671,0.00014302,0.00013933,0.00013195,0.0001172,0.00013155,0.00012883,0.0001226,0.00011629,9.9468e-05
464,0.00015999,0.00015771,0.00015544,0.00015088,0.00014177,0.00014232,0.00014042,0.00013496,0.00013135,0.00011827
466,0.00017458,0.00017409,0.0001736,0.00017263,0.00017069,0.00015602,0.00015414,0.00015104,0.00014988,0.00014265
468,0.00019161,0.0001934,0.0001952,0.00019879,0.00020597,0.00017143,0.00017291,0.0001707,0.00017319,0.00017401
470,0.00019927,0.00020301,0.00020674,0.00021422,0.00022917,0.00017762,0.00018041,0.00018072,0.00018747,0.00019589
472,0.00020148,0.00020679,0.00021209,0.0002227,0.00024392,0.00018101,0.00018537,0.00018771,0.00019699,0.00021236
474,0.00020184,0.00020844,0.00021503,0.00022822,0.00025459,0.0001829,0.00018826,0.00019267,0.00020451,0.00022446
476,0.00019898,0.00020644,0.00021389,0.0002288,0.00025862,0.00018014,0.00018625,0.00019146,0.00020499,0.00022876
478,0.00019865,0.00020669,0.00021473,0.00023081,0.00026297,0.0001828,0.00018906,0.00019526,0.00021002,0.0002361
